"","pais","idnum","upm","prov","muni","cluster","ur","tamano","idiomaq","wt","estratopri","estratosec","q2y","q2","q1","ls3","a4","soct2","idio2","np1","np2","muni10","sgl1","honmun37","honmun38","honmun39","honmun40","honmun41","honmun42","cp5","cp6","cp7","cp8","cp13","cp20","honcp22","honcp21a","it1","l1","prot3","jc10","jc13","jc15a","vic1ext","vic1exta","vic1hogar","arm2","vic41","vic43","ico2","aoj11","pese1","pese2","aoj17","aoj12","b1","b2","b3","b4","b6","b10a","b11","b43","b12","b13","b18","b20","b20a","b21","b21a","b32","b37","b47a","b14","b15","b19","b46","honb51","mil1","b3milx","pr3e","honqt1","honqt2","honqt3","honqt4","honqt5","honqt6","honqt7","honqt8","honqt9","honqt10","honqt11","honqt12","m1","m2","honm3","sd2new2","sd3new2","sd6new2","infrax","ros1","ros4","ing4","eff1","eff2","mil7","pn4","w14a","e5","e15","e16","d1","d2","d3","d4","d5","d6","honjc17","exc2","exc6","exc20","exc11","exc13","exc14","exc15","exc16","exc18","vicbar1","vicbar1f","vicbar3","vicbar4","vicbar7","vic44","fear6f","vb1","vb2","vb10","pol1","vb20","for5","mil10a","mil10e","wf1","cct1b","ed","ed2","q5a","q5b","q3c","ocup4a","ocup1a","q10a","q14","q10d","q10e","q11n","q12c","q12bn","q12","etid","www1","gi0","r3","r4","r4a","r5","r6","r7","r8","r12","r14","r15","r18","r1","r16","r26","inf3a","colorr","sexi","colori","nationality","formatq","sex","year","fecha","lib1","lib4"
"1:11",4,1472,42101,421,402101,151,2,5,1,1,409,NA,NA,50,2,2,19,3,3,2,2,NA,2,2,NA,NA,NA,NA,NA,4,1,2,4,4,4,NA,NA,3,4,2,2,2,2,2,NA,2,NA,0,0,NA,3,NA,NA,3,3,4,5,4,2,5,4,4,7,3,NA,5,2,7,NA,3,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,6,6,NA,3,NA,NA,4,NA,6,2,2,2,7,6,4,2,2,2,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,1,1,2,3,2,NA,NA,NA,NA,NA,2,NA,2,1,2,5,NA,2,2,4,3,NA,NA,NA,4,2,5,1,1,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,5,2,4,4,NA,2,2010,NA,NA,NA
"1:12",4,1463,42101,421,402101,151,2,5,1,1,409,NA,NA,24,2,2,5,NA,3,1,1,1,2,1,2,1,1,1,2,1,2,2,2,3,3,NA,NA,3,7,2,1,1,2,2,NA,1,NA,1,1,NA,3,NA,NA,3,3,5,6,5,5,6,7,5,7,7,5,5,7,7,5,4,5,6,NA,6,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7,2,4,5,5,NA,2,NA,8,5,5,8,6,6,6,1,1,2,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,1,2,3,3,NA,NA,NA,NA,NA,3,NA,2,1,5,5,NA,2,1,4,2,NA,NA,NA,1,1,5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,6,2,3,4,NA,2,2010,NA,NA,NA
"1:13",4,48,40103,401,400103,4,2,5,1,1,401,NA,NA,69,2,1,19,3,3,1,2,NA,1,2,NA,NA,NA,NA,NA,4,1,1,1,4,4,NA,NA,1,NA,2,NA,NA,2,2,NA,2,NA,0,0,NA,1,NA,NA,4,2,NA,6,5,NA,NA,NA,3,7,1,1,1,7,7,1,1,1,4,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,1,NA,NA,1,10,1,1,1,NA,1,1,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,3,NA,NA,NA,NA,NA,8,NA,1,1,5,5,NA,2,2,NA,3,NA,NA,NA,8,2,5,1,1,0,1,0,0,0,0,1,0,0,0,1,0,NA,NA,3,1,4,4,NA,2,2010,NA,NA,NA
"1:14",4,574,40401,404,400401,62,1,2,1,1,403,NA,NA,19,2,1,13,2,1,2,2,NA,2,1,1,1,NA,NA,2,4,1,1,4,4,4,NA,NA,3,9,2,2,2,2,1,1,2,NA,0,0,NA,3,NA,NA,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,6,6,5,4,5,NA,1,NA,5,6,1,5,7,7,7,1,1,2,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,9,NA,3,3,1,4,NA,1,2,2,3,NA,NA,NA,0,2,2,1,1,1,1,0,0,1,0,1,1,0,0,1,0,NA,NA,5,1,5,4,NA,2,2010,NA,NA,NA
"1:15",4,144,40101,401,400101,15,1,1,1,1,401,NA,NA,45,2,2,3,3,3,2,2,NA,2,2,NA,NA,NA,NA,NA,4,1,NA,2,4,4,NA,NA,3,7,2,1,2,2,2,NA,2,NA,1,1,NA,3,NA,NA,1,2,4,4,3,4,6,4,5,5,4,3,3,6,5,3,5,4,4,NA,5,3,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,5,6,1,2,2,NA,2,NA,5,5,1,6,9,4,6,9,9,2,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,1,2,2,NA,1,NA,NA,NA,NA,NA,6,NA,1,1,1,5,NA,2,2,2,2,NA,NA,NA,3,2,5,1,0,0,1,0,0,1,0,1,0,0,0,1,0,NA,NA,4,1,4,4,NA,2,2010,NA,NA,NA
"1:16",4,118,40101,401,400101,12,1,1,1,1,401,NA,NA,41,2,NA,19,3,3,2,2,NA,3,2,NA,NA,NA,NA,NA,1,4,NA,4,4,NA,NA,NA,NA,6,2,2,2,2,2,NA,2,NA,0,1,NA,2,NA,NA,2,NA,7,6,6,5,6,6,6,5,5,5,4,5,4,4,4,4,5,NA,3,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,3,5,5,4,3,NA,3,NA,6,6,5,7,5,6,6,6,6,2,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,1,1,3,1,NA,NA,NA,NA,NA,3,NA,NA,3,4,1,4,NA,2,2,3,NA,NA,NA,1,2,5,5,1,1,1,0,0,1,0,1,0,0,0,1,0,NA,NA,5,1,5,4,NA,2,2010,NA,NA,NA
"1:17",4,476,40405,404,400405,51,2,5,1,1,403,NA,NA,23,2,1,5,2,3,2,2,NA,3,2,NA,NA,NA,NA,NA,4,2,4,4,4,4,NA,NA,1,7,2,1,1,2,2,NA,1,NA,1,0,NA,3,NA,NA,2,2,6,5,5,4,4,4,4,7,3,4,4,7,4,4,3,5,4,NA,4,4,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,1,1,1,NA,2,NA,NA,1,1,4,5,3,4,1,1,2,0,0,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,1,2,2,2,1,NA,NA,NA,NA,NA,15,NA,2,1,1,1,4,2,2,2,1,NA,NA,NA,0,2,4,2,1,0,1,1,0,0,0,1,1,0,0,1,0,NA,NA,3,1,5,4,NA,2,2010,NA,NA,NA
"1:18",4,363,40303,403,400303,39,2,5,1,1,402,NA,NA,50,2,3,14,2,2,2,2,NA,4,2,NA,NA,NA,NA,NA,4,3,4,4,4,4,NA,NA,3,NA,2,2,2,2,2,NA,2,NA,0,0,NA,2,NA,NA,3,2,NA,5,4,4,4,4,7,7,5,4,5,4,4,3,5,6,4,NA,5,4,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,7,7,7,1,7,NA,2,NA,10,1,1,10,6,4,3,3,3,1,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,1,1,1,4,2,NA,NA,NA,NA,NA,0,NA,4,1,1,5,NA,2,2,2,2,NA,NA,NA,8,2,NA,4,0,0,1,0,0,0,0,1,1,0,0,1,0,NA,NA,4,2,4,4,NA,2,2010,NA,NA,NA
"1:19",4,1146,41303,413,401303,119,2,5,1,1,406,NA,NA,26,1,1,1,1,1,1,1,0,3,1,1,2,1,2,2,3,1,3,2,3,NA,NA,NA,1,10,1,2,2,2,1,2,2,NA,0,0,NA,2,NA,NA,NA,2,3,5,NA,4,3,4,3,3,5,3,5,4,5,3,5,3,3,NA,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,4,4,3,2,2,NA,2,NA,2,1,1,10,7,7,3,1,1,1,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,6,NA,1,1,1,1,4,1,2,1,1,NA,NA,NA,2,2,5,1,1,1,1,0,0,1,1,1,1,1,0,1,0,NA,NA,4,2,4,4,NA,1,2010,NA,NA,NA
"1:20",4,863,40504,405,400504,91,1,4,1,1,404,NA,NA,47,1,1,4704,3,2,2,2,NA,4,2,NA,NA,NA,NA,NA,4,1,3,4,4,NA,NA,NA,2,8,2,NA,1,2,2,NA,1,NA,0,0,NA,2,NA,NA,4,3,2,3,4,5,5,5,3,7,5,4,4,6,6,4,4,4,3,NA,5,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,7,7,NA,6,4,NA,2,NA,8,4,1,1,1,1,1,1,1,1,0,1,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,1,2,2,3,2,NA,NA,NA,NA,NA,2,NA,2,1,1,1,4,1,2,1,1,NA,NA,NA,5,4,4,2,1,1,1,0,0,1,1,1,1,0,0,1,0,NA,NA,9,1,4,4,NA,1,2010,NA,NA,NA
"1:21",4,1491,42103,421,402103,153,2,5,1,1,409,NA,NA,40,1,3,4,3,3,2,2,NA,4,2,NA,NA,NA,NA,NA,4,4,4,4,4,NA,NA,NA,2,8,2,2,2,2,2,NA,2,NA,0,0,NA,3,NA,NA,4,2,6,5,6,6,5,4,5,7,5,5,5,7,5,5,6,5,5,NA,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,6,6,6,4,4,NA,2,NA,7,2,3,5,5,5,5,4,3,2,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,1,2,1,3,2,NA,NA,NA,NA,NA,0,NA,2,1,1,3,NA,2,2,4,3,NA,NA,NA,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,6,1,3,4,NA,1,2010,NA,NA,NA
"1:22",4,411,40304,403,400304,45,1,4,1,1,402,NA,NA,59,1,2,7,3,3,2,2,NA,3,2,NA,NA,NA,NA,NA,4,4,4,4,4,NA,NA,NA,4,8,2,2,2,2,2,NA,2,NA,0,0,NA,2,NA,NA,3,2,6,5,6,4,6,5,4,6,5,5,4,5,5,4,5,5,5,NA,3,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,6,5,5,5,4,NA,2,NA,7,7,6,6,7,8,7,6,8,2,0,0,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,1,1,1,4,2,NA,NA,NA,NA,NA,6,NA,4,1,4,1,4,2,2,3,3,NA,NA,NA,5,2,5,2,1,0,1,0,0,0,0,1,0,0,0,1,0,NA,NA,6,1,3,4,NA,1,2010,NA,NA,NA
"1:23",4,1588,42203,422,402203,162,1,4,1,1,409,NA,NA,69,2,2,1,3,NA,2,2,NA,4,2,NA,NA,NA,NA,NA,4,4,4,4,4,4,NA,NA,1,9,2,2,2,2,2,NA,2,NA,0,0,NA,2,NA,NA,2,2,5,4,5,4,5,5,4,7,4,4,4,4,7,5,5,4,4,NA,5,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,6,7,6,5,5,NA,2,NA,7,3,2,5,5,6,6,3,2,2,0,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,1,1,1,3,2,NA,NA,NA,NA,NA,17,NA,5,1,5,5,NA,2,2,3,2,NA,NA,NA,1,2,5,5,0,1,0,0,1,0,0,1,1,0,0,1,0,NA,NA,4,1,3,4,NA,2,2010,NA,NA,NA
"1:24",4,415,40401,404,400401,46,2,5,1,1,403,NA,NA,18,2,1,3,3,2,2,2,NA,4,2,NA,NA,NA,NA,NA,4,1,4,4,4,4,NA,NA,1,8,2,1,1,2,1,1,2,NA,0,0,NA,2,NA,NA,2,4,5,4,5,3,5,4,4,7,4,4,1,4,7,1,4,3,7,NA,3,5,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,3,7,3,1,1,NA,2,NA,10,1,1,4,1,1,1,1,1,2,0,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,3,2,2,4,1,NA,NA,NA,NA,NA,9,NA,1,1,5,4,NA,1,2,3,2,NA,NA,NA,0,1,3,2,1,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,2,1,5,4,NA,2,2010,NA,NA,NA
"1:25",4,944,40704,407,400704,101,1,4,1,1,404,NA,NA,54,2,2,4,3,3,2,2,NA,4,2,NA,NA,NA,NA,NA,4,4,4,4,4,4,NA,NA,3,10,2,2,2,2,2,NA,2,NA,0,0,NA,2,NA,NA,4,3,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,NA,5,6,6,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,5,6,6,4,5,NA,2,NA,6,3,3,7,7,7,3,1,1,2,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,1,2,3,1,NA,NA,NA,NA,NA,6,NA,2,1,1,1,4,1,2,3,2,NA,NA,NA,6,1,5,1,1,0,1,0,0,0,0,1,1,0,0,1,0,NA,NA,4,1,4,4,NA,2,2010,NA,NA,NA
"1:26",4,888,40503,405,400503,94,1,4,1,1,404,NA,NA,49,2,1,21,3,1,2,2,NA,2,2,NA,NA,NA,NA,NA,NA,4,4,4,4,4,NA,NA,3,6,2,2,2,1,2,NA,2,NA,0,0,NA,1,NA,NA,3,2,5,5,5,6,4,3,5,5,4,5,6,4,5,5,5,4,5,NA,5,6,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,4,3,5,4,4,NA,3,NA,4,5,5,6,4,4,4,4,4,2,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,2,2,3,2,NA,NA,NA,NA,NA,3,NA,5,2,1,5,NA,2,2,3,2,NA,NA,NA,4,4,5,4,0,0,0,0,0,0,0,1,1,0,0,1,0,NA,NA,8,1,4,4,NA,2,2010,NA,NA,NA
"1:27",4,893,40601,406,400601,95,1,4,1,1,404,NA,NA,42,2,2,3,3,2,2,2,NA,3,NA,NA,NA,NA,NA,NA,4,1,2,4,4,4,NA,NA,2,9,2,2,2,2,2,NA,1,NA,0,0,NA,2,NA,NA,3,3,5,6,5,4,5,5,5,6,4,4,5,5,5,3,6,3,5,NA,5,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,4,5,4,5,5,NA,NA,NA,5,1,5,4,6,6,6,3,1,1,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,1,1,2,4,NA,NA,NA,NA,NA,NA,9,NA,1,1,5,5,NA,2,2,2,2,NA,NA,NA,3,4,5,2,1,1,1,0,0,0,0,1,0,0,0,1,0,NA,NA,10,1,5,4,NA,2,2010,NA,NA,NA
