"","pais","idnum","upm","prov","muni","cluster","ur","tamano","idiomaq","wt","estratopri","estratosec","q2","q1","nationality","ls3","a4","soct2","idio2","np1","sgl1","cp6","cp7","cp8","cp13","cp20","it1","l1","prot3","prot4","jc10","jc13","jc15a","vic1ext","vic1exta","arm2","vic41","vic43","aoj11","pese1","pese2","aoj17","aoj12","b1","b2","b3","b4","b6","b43","b11","b12","b13","b18","b21","b21a","b32","b17","b37","b47a","b15","b50","b60","epp3","m1","m2","sd2new2","sd3new2","sd6new2","infrax","ros1","ros4","ing4","eff1","eff2","pn4","w14a","e5","e16","d1","d2","d3","d4","d5","d6","dem11","exc2","exc6","exc20","exc11","exc13","exc14","exc15","exc16","exc18","vicbar1","vicbar1f","vicbar3","vicbar7","vb1","inf1","vb2","vb10","pol1","vb20","soc1","soc4","soc5","soc8","soc9","for5","for6b","for7b","mil10a","mil10e","wf1","cct1b","ed","ed2","q5a","q5b","q3c","ocup4a","ocup1a","q10a","q14","q10d","q10e","q11n","q12c","q12bn","q12","etid","www1","gi0","r3","r4","r4a","r5","r6","r7","r8","r12","r14","r15","r18","r1","r16","r26","colorr","sexi","colori","formatq","sex","year","fecha","lib1","lib4"
"1:11",2,240,20108,201,200108,34,1,2,2,1,201,NA,56,2,2,1,57,3,3,1,4,1,4,4,4,4,4,5,2,NA,2,2,2,1,2,NA,NA,NA,4,NA,NA,1,4,1,7,1,2,3,7,1,1,1,1,1,2,1,2,1,NA,2,1,1,NA,3,4,NA,NA,NA,NA,7,6,7,1,6,2,NA,2,1,5,1,1,1,1,1,1,1,0,NA,0,0,NA,0,NA,1,NA,NA,NA,NA,1,NA,1,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,2,1,1,1,4,2,2,3,3,NA,NA,NA,3,2,3,1,1,1,1,1,0,0,0,1,1,0,0,1,0,NA,4,1,3,NA,2,2010,NA,NA,NA
"1:12",2,672,21307,213,201307,92,2,5,2,1,203,NA,45,1,2,3,5,3,3,2,4,1,1,2,4,NA,3,NA,1,3,1,NA,2,2,NA,NA,NA,NA,4,NA,NA,4,3,6,3,3,2,5,7,1,2,1,1,3,3,3,6,5,NA,3,7,NA,NA,3,4,NA,NA,NA,NA,2,6,5,2,5,2,NA,10,8,3,7,2,2,2,1,2,0,0,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,1,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,1,1,1,2,4,2,2,3,2,NA,NA,NA,5,3,5,3,0,0,1,0,0,0,0,1,0,0,0,1,0,NA,4,2,4,NA,1,2010,NA,NA,NA
"1:13",2,1358,21501,215,201501,174,2,5,2,1,205,NA,35,2,2,1,19,2,2,2,2,4,4,4,4,4,1,NA,2,NA,2,2,NA,2,NA,NA,NA,NA,1,NA,NA,4,4,2,4,4,4,4,1,1,1,1,1,1,1,1,NA,1,NA,1,1,NA,NA,2,2,NA,NA,NA,NA,1,7,1,7,1,2,NA,1,1,1,1,1,1,1,NA,2,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,1,NA,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,1,1,5,NA,2,2,4,2,NA,NA,NA,0,3,5,5,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,6,1,4,NA,2,2010,NA,NA,NA
"1:14",2,1224,22206,222,202206,158,2,5,2,1,204,NA,55,2,2,2,5,2,3,2,3,2,2,2,3,2,2,8,2,NA,1,1,2,2,NA,NA,NA,NA,2,NA,NA,4,4,7,6,5,1,3,7,NA,7,5,5,4,2,5,6,4,NA,6,NA,NA,NA,4,4,NA,NA,NA,NA,1,7,3,2,2,2,NA,1,10,1,4,6,6,1,1,1,0,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,1,NA,1,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,1,1,1,5,2,2,3,2,NA,NA,NA,13,2,5,4,0,1,1,0,0,0,0,1,1,0,0,1,0,NA,5,2,3,NA,2,2010,NA,NA,NA
"1:15",2,1446,21805,218,201805,183,2,5,2,1,205,NA,53,2,2,2,57,1,1,1,3,1,4,4,4,4,2,NA,2,NA,2,2,2,1,1,NA,NA,NA,3,NA,NA,NA,3,2,7,2,2,3,7,6,5,1,2,1,1,3,7,5,NA,2,2,6,NA,3,3,NA,NA,NA,NA,1,7,7,1,6,3,NA,8,1,NA,8,6,8,NA,1,2,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,1,NA,1,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,2,1,5,1,4,2,2,3,2,NA,NA,NA,3,7,5,1,1,0,1,0,1,1,0,1,1,1,0,1,0,NA,5,1,4,NA,2,2010,NA,NA,NA
"1:16",2,919,21206,212,201206,123,2,5,2,1,203,NA,35,2,2,1,5,3,2,1,3,1,2,4,4,4,1,7,2,NA,1,1,2,2,NA,NA,NA,NA,1,NA,NA,4,3,3,5,4,4,5,7,4,6,4,3,4,4,5,5,5,NA,4,4,5,NA,4,2,NA,NA,NA,NA,4,2,2,2,4,3,NA,3,8,5,3,3,2,1,1,1,0,0,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,2,NA,1,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,1,1,5,1,4,2,2,2,3,NA,NA,NA,7,2,5,1,1,0,1,1,0,1,1,1,1,0,0,1,0,NA,3,2,2,NA,2,2010,NA,NA,NA
"1:17",2,356,20501,205,200501,53,2,5,2,1,202,NA,47,1,2,2,1,2,2,2,3,1,4,4,4,NA,3,3,2,NA,1,1,2,2,NA,NA,NA,NA,3,NA,NA,3,3,5,6,3,3,3,7,6,7,6,7,3,3,3,3,7,NA,3,6,5,NA,3,2,NA,NA,NA,NA,3,5,6,2,5,3,NA,7,2,3,3,3,3,3,3,2,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,1,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,1,1,5,7,NA,1,2,3,3,NA,NA,NA,0,3,5,3,1,0,1,0,0,0,0,0,1,0,0,1,0,NA,6,1,5,NA,1,2010,NA,NA,NA
"1:18",2,37,8,201,200101,5,1,1,2,1,201,NA,33,2,2,1,27,3,2,2,2,1,3,3,4,4,3,5,2,NA,NA,NA,1,1,2,NA,NA,NA,2,NA,NA,1,4,3,3,3,3,NA,5,4,3,1,2,1,2,5,2,6,NA,3,2,NA,NA,4,4,NA,NA,NA,NA,1,5,5,1,3,2,NA,8,4,8,8,8,8,6,1,2,0,0,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,1,NA,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,1,1,1,1,2,2,2,2,2,NA,NA,NA,2,2,3,1,1,0,1,0,0,1,0,1,1,0,0,1,1,NA,4,1,3,NA,2,2010,NA,NA,NA
"1:19",2,1524,21908,219,201908,193,2,5,2,1,205,NA,49,1,2,1,1,2,2,1,1,4,2,2,4,NA,1,7,2,NA,1,1,2,2,NA,NA,NA,NA,1,NA,NA,4,3,4,5,3,2,7,7,6,5,4,5,6,3,7,4,6,NA,5,3,4,NA,3,3,NA,NA,NA,NA,6,6,5,1,5,2,NA,4,4,6,7,8,8,1,1,1,0,0,NA,0,0,NA,0,0,1,NA,NA,NA,NA,1,NA,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,4,1,11,1,2,2,2,2,1,NA,NA,NA,4,2,5,1,1,1,1,1,1,0,1,1,1,0,0,1,0,NA,3,1,4,NA,1,2010,NA,NA,NA
"1:20",2,1078,20801,208,200801,143,1,2,2,1,203,NA,32,2,2,2,1,3,2,2,3,1,4,4,4,4,2,NA,2,NA,1,1,2,2,NA,NA,NA,NA,2,NA,NA,4,3,4,5,2,5,5,5,4,5,4,2,4,4,5,4,4,NA,4,3,3,NA,3,4,NA,NA,NA,NA,2,7,7,2,2,2,NA,3,1,10,10,5,5,1,1,2,0,0,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,1,NA,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,1,1,5,1,2,2,2,2,3,NA,NA,NA,0,3,3,1,1,0,1,1,1,1,0,1,1,1,0,1,0,NA,5,1,3,NA,2,2010,NA,NA,NA
"1:21",2,1335,21614,216,201614,172,1,3,2,1,205,NA,50,2,2,2,57,3,3,1,NA,1,3,4,4,4,2,NA,2,NA,1,1,2,1,1,NA,NA,NA,4,NA,NA,1,1,7,7,7,7,7,7,7,7,7,6,6,7,6,7,7,NA,1,NA,NA,NA,2,2,NA,NA,NA,NA,4,7,4,7,4,NA,NA,4,3,1,3,1,1,1,1,1,1,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,1,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,1,5,5,NA,2,2,3,3,NA,NA,NA,7,2,5,1,1,0,1,1,0,0,0,1,0,0,0,1,0,NA,2,1,4,NA,2,2010,NA,NA,NA
"1:22",2,936,21206,212,201206,125,1,3,2,1,203,NA,63,1,2,1,27,3,3,1,3,1,2,2,4,NA,2,6,2,NA,2,2,2,2,NA,NA,NA,NA,4,NA,NA,1,4,4,3,2,5,6,7,4,1,1,3,1,3,2,1,5,NA,3,3,5,NA,3,3,NA,NA,NA,NA,6,6,5,3,2,2,NA,6,1,6,8,9,7,1,1,2,0,0,NA,0,0,NA,0,0,0,NA,NA,NA,NA,1,NA,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,1,1,5,1,1,2,2,2,2,NA,NA,NA,10,3,5,1,1,1,1,1,0,0,0,1,1,0,0,1,1,NA,6,2,4,NA,1,2010,NA,NA,NA
"1:23",2,222,20108,201,200108,31,1,2,2,1,201,NA,20,2,2,1,5,2,2,2,2,1,4,4,4,4,2,6,1,2,1,2,2,1,1,NA,NA,NA,3,NA,NA,1,3,3,5,4,3,5,7,4,1,2,3,3,4,6,5,6,NA,3,5,4,NA,3,4,NA,NA,NA,NA,7,5,NA,1,1,3,NA,7,1,6,5,7,4,1,1,1,0,0,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,2,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,2,2,5,3,NA,2,1,3,2,NA,NA,NA,0,2,3,1,0,1,1,0,0,0,1,1,1,1,0,1,0,NA,4,1,3,NA,2,2010,NA,NA,NA
"1:24",2,527,21013,210,201013,72,2,5,2,1,202,NA,39,2,2,1,1,3,3,2,4,1,4,4,4,4,3,NA,2,NA,2,2,2,2,NA,NA,NA,NA,3,NA,NA,NA,2,5,NA,NA,NA,NA,7,3,6,3,6,NA,1,5,4,6,NA,5,4,NA,NA,3,4,NA,NA,NA,NA,6,7,NA,NA,NA,2,NA,10,10,NA,NA,NA,NA,10,1,2,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,2,NA,1,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,1,1,1,1,4,2,2,3,3,NA,NA,NA,0,2,5,1,1,0,1,0,0,0,0,1,1,0,0,1,0,NA,3,2,4,NA,2,2010,NA,NA,NA
"1:25",2,1306,21609,216,201609,168,2,5,2,1,205,NA,36,2,2,2,3,3,2,2,5,2,3,4,4,4,3,3,2,NA,1,1,2,2,NA,NA,NA,NA,4,NA,NA,4,4,7,4,6,3,2,3,1,7,4,2,5,7,1,2,5,NA,4,2,6,NA,2,3,NA,NA,NA,NA,7,7,1,6,2,3,NA,1,8,4,9,7,10,7,10,1,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2,NA,2,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,1,5,NA,2,2,4,2,NA,NA,NA,3,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,4,2,3,NA,2,2010,NA,NA,NA
"1:26",2,1145,22106,221,202106,150,2,5,2,1,204,NA,28,1,2,1,3,2,2,2,3,1,1,4,4,NA,1,6,2,NA,1,1,2,2,NA,NA,NA,NA,2,NA,NA,4,2,4,6,6,6,5,7,4,6,5,5,5,4,5,5,5,NA,5,5,1,NA,3,3,NA,NA,NA,NA,1,6,5,4,3,2,NA,5,8,7,6,6,3,1,1,1,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,1,NA,1,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,2,1,1,1,4,2,1,2,2,NA,NA,NA,0,2,5,2,1,0,1,1,0,0,1,1,1,0,0,1,0,NA,5,2,4,NA,1,2010,NA,NA,NA
"1:27",2,703,21305,213,201305,95,1,3,2,1,203,NA,38,1,2,1,5,2,2,2,2,4,4,4,4,NA,1,10,2,NA,2,2,2,2,NA,NA,NA,NA,1,NA,NA,4,2,3,7,3,5,5,7,4,7,5,2,2,5,5,2,6,NA,2,4,5,NA,5,3,NA,NA,NA,NA,1,7,5,2,3,3,NA,8,2,3,3,2,1,8,1,1,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,1,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,5,2,4,1,4,2,2,2,2,NA,NA,NA,1,2,5,1,1,0,1,0,1,1,1,1,1,0,0,1,0,NA,7,1,6,NA,1,2010,NA,NA,NA
"1:28",2,1118,22004,220,202004,147,1,3,2,1,205,NA,20,2,2,1,1,2,1,2,3,1,4,4,4,4,2,7,2,NA,1,1,2,2,NA,NA,NA,NA,2,NA,NA,4,1,2,3,4,2,4,7,5,5,3,2,3,5,4,5,5,NA,4,5,NA,NA,3,3,NA,NA,NA,NA,6,6,6,5,4,2,NA,9,1,9,2,3,3,2,1,2,0,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,2,NA,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,1,1,2,3,NA,2,2,3,2,NA,NA,NA,0,2,4,2,1,0,1,0,0,1,0,1,1,0,0,1,0,NA,5,1,7,NA,2,2010,NA,NA,NA
"1:29",2,139,2,201,200101,21,1,1,2,1,201,NA,53,1,2,2,5,3,2,2,3,4,4,4,4,NA,2,7,2,NA,2,2,2,1,2,NA,NA,NA,2,NA,NA,2,3,4,3,2,3,2,2,2,2,2,6,2,1,1,2,3,NA,3,1,4,NA,3,4,NA,NA,NA,NA,2,1,4,1,2,2,NA,8,3,2,3,2,3,2,2,2,0,0,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,1,NA,1,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,3,2,1,1,4,2,2,2,3,NA,NA,NA,2,2,1,2,1,0,0,0,0,0,1,0,1,0,0,1,0,NA,4,1,3,NA,1,2010,NA,NA,NA
"1:30",2,1330,21614,216,201614,172,1,3,2,1,205,NA,24,1,2,2,5,2,2,2,4,4,4,4,4,NA,2,6,2,NA,1,1,1,2,NA,NA,NA,NA,1,NA,NA,4,4,3,6,4,5,4,7,3,5,4,2,1,2,2,3,3,NA,4,3,4,NA,5,4,NA,NA,NA,NA,5,6,5,7,4,1,NA,1,10,1,10,10,10,10,5,2,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,1,NA,1,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,3,1,5,1,2,2,2,2,2,NA,NA,NA,0,2,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,NA,3,2,3,NA,1,2010,NA,NA,NA
"1:31",2,1353,21501,215,201501,174,2,5,2,1,205,NA,50,1,2,1,5,2,2,2,3,2,2,1,4,NA,2,NA,2,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,4,4,NA,6,3,5,6,7,NA,7,NA,6,2,2,4,5,5,NA,5,4,NA,NA,3,3,NA,NA,NA,NA,1,NA,NA,2,1,3,NA,NA,8,2,3,NA,5,3,1,1,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,1,NA,1,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,1,1,4,2,2,3,2,NA,NA,NA,10,3,5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,5,2,3,NA,1,2010,NA,NA,NA
"1:32",2,388,20507,205,200507,57,1,3,2,1,202,NA,77,2,2,2,5,3,3,2,2,2,1,4,4,4,1,4,2,NA,1,2,2,2,NA,NA,NA,NA,1,NA,NA,4,2,3,6,4,6,6,7,6,7,6,7,4,7,6,6,6,NA,6,6,6,NA,3,4,NA,NA,NA,NA,4,4,4,2,3,2,NA,4,4,5,8,7,4,4,2,1,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,1,NA,1,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,1,1,5,NA,2,2,2,3,NA,NA,NA,4,2,5,1,1,0,1,0,0,0,0,1,1,0,0,1,0,NA,6,1,3,NA,2,2010,NA,NA,NA
"1:33",2,1437,21805,218,201805,183,2,5,2,1,205,NA,24,1,2,2,3,3,2,2,3,2,4,4,4,NA,1,NA,2,NA,1,1,1,2,NA,NA,NA,NA,2,NA,NA,4,4,1,1,1,1,7,7,1,1,1,1,1,1,4,7,6,NA,1,1,2,NA,2,4,NA,NA,NA,NA,2,7,5,2,1,3,NA,10,10,1,1,2,1,1,10,1,1,0,NA,NA,0,NA,0,NA,1,NA,NA,NA,NA,1,NA,2,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,1,1,5,1,2,1,1,2,2,NA,NA,NA,1,2,4,2,1,1,1,0,0,0,0,1,1,0,0,1,0,NA,4,2,3,NA,1,2010,NA,NA,NA
"1:34",2,1392,21502,215,201502,177,2,5,2,1,205,NA,55,2,2,2,4,1,2,2,4,1,2,2,4,4,2,NA,2,NA,2,NA,NA,2,NA,NA,NA,NA,1,NA,NA,4,4,NA,3,NA,6,NA,7,4,7,NA,6,NA,6,3,4,5,NA,5,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,5,2,NA,NA,NA,6,1,6,7,8,9,1,1,2,0,0,NA,0,NA,NA,0,0,0,NA,NA,NA,NA,1,NA,1,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,5,5,NA,2,2,2,2,NA,NA,NA,7,3,5,2,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,5,1,3,NA,2,2010,NA,NA,NA
