,sex,age,read_write,head_house,home_dept,home_city,mex_port,trans_crossm,coyote_usd,first_state,first_city,second_state,second_city,long_state,long_city,us_entry,trans_crossu,reason,fellow_trav
4177,Hombre,25,Sí,No,Francisco Morazán,El Porvenir,La Técnica,Autobús o camioneta,8000,Chiapas,Palenque (Chiapas),Tamaulipas,Reynosa (Tamaulipas),Distrito Federal,No responde,Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,Ninguna
4178,Hombre,25,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Colón,Sabá,La Mesilla,Autobús o camioneta,7500,Chiapas,Chiapa de Corzo (Chiapas),Tabasco,Tenosique de Pino Suárez (Tabasco),Tamaulipas,Reynosa (Tamaulipas),No responde,No responde,No responde,No responde
4179,Hombre,19,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Choluteca,Choluteca,Naranjo,Autobús o camioneta,7000,Chiapas,Chiapa de Corzo (Chiapas),Veracruz de Ignacio de la Llave,Coatzacoalcos (Veracruz de Ignacio de la Llave),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,Ninguna
4180,Hombre,31,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Lempira,Gracias,Tecún Umán,Autobús o camioneta,6500,Chiapas,Chiapa de Corzo (Chiapas),Tamaulipas,Reynosa (Tamaulipas),Veracruz de Ignacio de la Llave,Coatzacoalcos (Veracruz de Ignacio de la Llave),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,Ninguna
4181,Hombre,26,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Intubucá,Concepción,La Mesilla,Autobús o camioneta,6000,Nuevo León,Monterrey (Nuevo León),Veracruz de Ignacio de la Llave,Coatzacoalcos (Veracruz de Ignacio de la Llave),Distrito Federal,Coyoacán (Distrito Federal),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,Ninguna
4182,Hombre,22,Sí,No,Francisco Morazán,Distrito Central,La Técnica,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Veracruz de Ignacio de la Llave,Veracruz (Veracruz de Ignacio de la Llave),Tamaulipas,Reynosa (Tamaulipas),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,Ninguna
4183,Hombre,21,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Olancho,Concordia,La Técnica,Autobús o camioneta,5500,Tamaulipas,Reynosa (Tamaulipas),Nuevo León,Monterrey (Nuevo León),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,Ninguna
4184,Mujer,26,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Atlántida,La Ceiba,La Técnica,Autobús o camioneta,6000,Chiapas,Chiapa de Corzo (Chiapas),Tamaulipas,Nuevo Laredo (Tamaulipas),Tamaulipas,Nuevo Laredo (Tamaulipas),Nuevo Laredo (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,Ninguna
4185,Hombre,33,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Valle,Goascorán,Naranjo,Autobús o camioneta,7000,Veracruz de Ignacio de la Llave,Veracruz (Veracruz de Ignacio de la Llave),Tabasco,Villahermosa (Tabasco),Chiapas,Arriaga (Chiapas),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,Ninguna
4186,Hombre,29,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Yoro,Olanchito,Naranjo,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Chiapas,Chiapa de Corzo (Chiapas),Veracruz de Ignacio de la Llave,Veracruz (Veracruz de Ignacio de la Llave),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,Ninguna
